Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
ObjectNum,Name,Type,Constellation,RAHour,RAMinute,DecSign,DecDeg,DecMinute,Magnitude,Info,Distance (ly)
     96,NGC 3368  ,Spiral Galaxy,Leo,10,46.8,+,11,49,9.2,Size: 6x4,38000000
     97,NGC 3587 Owl Nebula,Planetary Nebula,Ursa Major,11,14.8,+,55,1,9.9,Size: 3.4x3.3,2600
     98,NGC 4192  ,Spiral Galaxy,Coma Berenices,12,13.8,+,14,54,10.1,Size: 9.5x3.2,60000000
     99,NGC 4254  ,Spiral Galaxy,Coma Berenices,12,18.8,+,14,25,9.9,Size: 5.4x4.8,60000000
    100,NGC 4321  ,Spiral Galaxy,Coma Berenices,12,22.9,+,15,49,9.3,Size: 7x6,60000000
    101,NGC 5457 Pinwheel Galaxy,Spiral Galaxy,Ursa Major,14,3.2,+,54,21,7.9,Size: 22,27000000
    102,NGC 5866 Spindle Galaxy,Lenticular (S0) Galaxy,Draco,15,6.5,+,55,46,9.9,Size: 5.2x2.3,40000000
    103,NGC 581,Open Cluster,Cassiopeia,1,33.2,+,60,42,7.4,Size: 6,8000
    104,NGC 4594 Sombrero Galaxy,Spiral Galaxy,Virgo,12,40,-,11,37,8,Size: 9x4,50000000
    105,NGC 3379,Elliptical Galaxy,Leo,10,47.8,+,12,35,9.3,Size: 2,38000000
    106,NGC 4258,Spiral Galaxy,Canes Venatici,12,19,+,47,18,8.4,Size: 19x8,25000000
    107,NGC 6171,Globular Cluster,Ophiucus,16,32.5,-,13,3,7.9,Size: 10,19600
    108,NGC 3556,Spiral Galaxy,Ursa Major,11,11.5,+,55,40,10,Size: 8x1,45000000
    109,NGC 3992,Spiral Galaxy,Ursa Major,11,57.6,+,53,23,9.8,Size: 7x4,55000000
    110,NGC 205 Satellite of M31,Elliptical Galaxy,Andromeda,0,40.4,+,41,41,8.5,Size: 17x10,2900000
